Axial Force,Moment X,Moment Y,N.A. Depth,N.A. Angle,D_t,eps_s
1337.874756,0.000097,0.000008,52.728630,0.000000,21.559002,-0.002069
1337.874756,0.000096,0.000030,57.686142,10.000000,23.585966,-0.002069
1337.874756,0.000112,0.000052,60.890884,20.000000,24.896286,-0.002069
1337.874756,0.000094,0.000063,62.245510,30.000000,25.450142,-0.002069
1337.874756,0.000074,0.000077,61.708824,40.000000,25.230709,-0.002069
1337.874756,0.000062,0.000089,59.297134,50.000000,24.244654,-0.002069
1337.874756,0.000058,0.000099,55.083744,60.000000,22.521938,-0.002069
1337.874756,0.000042,0.000117,49.196663,70.000000,20.114902,-0.002069
1337.874756,0.000025,0.000116,41.814774,80.000000,17.096689,-0.002069
1337.874756,-0.000008,0.000133,33.162361,90.000000,13.559000,-0.002069
1337.874756,-0.000010,0.000106,41.814785,100.000000,17.096689,-0.002069
1337.874756,-0.000037,0.000097,49.196663,110.000000,20.114902,-0.002069
1337.874756,-0.000073,0.000094,55.083744,120.000000,22.521938,-0.002069
1337.874756,-0.000067,0.000089,59.297150,130.000000,24.244654,-0.002069
1337.874756,-0.000084,0.000077,61.708809,140.000000,25.230709,-0.002069
1337.874756,-0.000099,0.000063,62.245491,150.000000,25.450142,-0.002069
1337.874756,-0.000107,0.000047,60.890884,160.000000,24.896286,-0.002069
1337.874756,-0.000106,0.000030,57.686142,170.000000,23.585970,-0.002069
1337.874756,-0.000108,0.000003,52.728622,180.000000,21.559002,-0.002069
1337.874756,-0.000106,-0.000020,57.686134,190.000000,23.585968,-0.002069
1337.874756,-0.000107,-0.000032,60.890900,200.000000,24.896286,-0.002069
1337.874756,-0.000094,-0.000047,62.245491,210.000000,25.450142,-0.002069
1337.874756,-0.000074,-0.000052,61.708809,220.000000,25.230711,-0.002069
1337.874756,-0.000072,-0.000074,59.297134,230.000000,24.244656,-0.002069
1337.874756,-0.000058,-0.000084,55.083755,240.000000,22.521940,-0.002069
1337.874756,-0.000042,-0.000102,49.196671,250.000000,20.114906,-0.002069
1337.874756,-0.000020,-0.000096,41.814789,260.000000,17.096691,-0.002069
1337.874756,-0.000013,-0.000092,33.162373,270.000000,13.559004,-0.002069
1337.874756,0.000015,-0.000096,41.814796,280.000000,17.096697,-0.002069
1337.874756,0.000052,-0.000102,49.196671,290.000000,20.114910,-0.002069
1337.874756,0.000037,-0.000084,55.083771,300.000000,22.521940,-0.002069
1337.874756,0.000072,-0.000074,59.297142,310.000000,24.244658,-0.002069
1337.874756,0.000094,-0.000067,61.708809,320.000000,25.230709,-0.002069
1337.874756,0.000094,-0.000047,62.245491,330.000000,25.450142,-0.002069
1337.874756,0.000102,-0.000032,60.890884,340.000000,24.896284,-0.002069
1337.874756,0.000116,-0.000020,57.686119,350.000000,23.585966,-0.002069
1310.571167,20.631548,0.000013,40.843605,0.000000,21.559002,-0.001653
1310.571167,20.472473,2.777743,43.056496,10.000000,23.585966,-0.001583
1310.571167,20.150911,4.932320,44.192223,20.000000,24.896286,-0.001528
1310.571167,19.185600,7.096438,44.443504,30.000000,25.450142,-0.001496
1310.571167,17.944998,9.440102,43.492691,40.000000,25.230709,-0.001470
1310.571167,17.022039,10.474673,41.770058,50.000000,24.244654,-0.001468
1310.571167,15.208991,11.330325,39.283630,60.000000,22.521938,-0.001493
1310.571167,12.435128,12.404269,35.788979,70.000000,20.114902,-0.001533
1310.571167,7.646378,12.628700,32.374489,80.000000,17.096689,-0.001652
1310.571167,-0.000003,12.630383,28.435799,90.000000,13.559000,-0.001831
1310.571167,-7.646360,12.628654,32.374504,100.000000,17.096689,-0.001652
1310.571167,-12.435107,12.404218,35.788994,110.000000,20.114902,-0.001533
1310.571167,-15.208961,11.330279,39.283653,120.000000,22.521938,-0.001493
1310.571167,-17.021914,10.474591,41.770123,130.000000,24.244654,-0.001468
1310.571167,-17.945024,9.440117,43.492676,140.000000,25.230709,-0.001470
1310.571167,-19.185682,7.096468,44.443474,150.000000,25.450142,-0.001496
1310.571167,-20.150846,4.932310,44.192253,160.000000,24.896286,-0.001528
1310.571167,-20.472527,2.777740,43.056480,170.000000,23.585970,-0.001583
1310.571167,-20.631571,0.000001,40.843597,180.000000,21.559002,-0.001653
1310.571167,-20.472502,-2.777729,43.056488,190.000000,23.585968,-0.001583
1310.571167,-20.150820,-4.932303,44.192268,200.000000,24.896286,-0.001528
1310.571167,-19.185631,-7.096436,44.443497,210.000000,25.450142,-0.001496
1310.571167,-17.945021,-9.440089,43.492676,220.000000,25.230711,-0.001470
1310.571167,-17.022049,-10.474660,41.770054,230.000000,24.244656,-0.001468
1310.571167,-15.208958,-11.330273,39.283653,240.000000,22.521940,-0.001493
1310.571167,-12.435149,-12.404263,35.788979,250.000000,20.114906,-0.001533
1310.571167,-7.646383,-12.628657,32.374504,260.000000,17.096691,-0.001652
1310.571167,-0.000019,-12.630397,28.435795,270.000000,13.559004,-0.001831
1310.571167,7.646379,-12.628682,32.374496,280.000000,17.096697,-0.001652
1310.571167,12.435161,-12.404265,35.788979,290.000000,20.114910,-0.001533
1310.571167,15.208873,-11.330209,39.283691,300.000000,22.521940,-0.001493
1310.571167,17.022022,-10.474639,41.770073,310.000000,24.244658,-0.001468
1310.571167,17.945086,-9.440124,43.492653,320.000000,25.230709,-0.001470
1310.571167,19.185606,-7.096424,44.443504,330.000000,25.450142,-0.001496
1310.571167,20.150820,-4.932295,44.192261,340.000000,24.896284,-0.001528
1310.571167,20.472593,-2.777728,43.056450,350.000000,23.585966,-0.001583
1283.267578,39.301636,0.000008,35.012142,0.000000,21.559002,-0.001345
1283.267578,38.328888,3.917712,37.202221,10.000000,23.585966,-0.001281
1283.267578,37.111164,7.761716,38.388565,20.000000,24.896286,-0.001230
1283.267578,35.937527,11.486081,38.406776,30.000000,25.450142,-0.001181
1283.267578,33.274349,15.699090,37.650135,40.000000,25.230709,-0.001155
1283.267578,30.146835,19.104979,36.076942,50.000000,24.244654,-0.001148
1283.267578,25.431860,21.819452,34.012177,60.000000,22.521938,-0.001182
1283.267578,18.845404,23.315039,31.527023,70.000000,20.114902,-0.001267
1283.267578,8.798989,25.239227,28.341324,80.000000,17.096689,-0.001389
1283.267578,-0.000003,25.274557,24.885094,90.000000,13.559000,-0.001593
1283.267578,-8.798978,25.239187,28.341333,100.000000,17.096689,-0.001389
1283.267578,-18.845385,23.314997,31.527031,110.000000,20.114902,-0.001267
1283.267578,-25.431870,21.819437,34.012180,120.000000,22.521938,-0.001182
1283.267578,-30.146753,19.104929,36.076973,130.000000,24.244654,-0.001148
1283.267578,-33.274410,15.699126,37.650112,140.000000,25.230709,-0.001155
1283.267578,-35.937534,11.486081,38.406776,150.000000,25.450142,-0.001181
1283.267578,-37.111080,7.761709,38.388588,160.000000,24.896286,-0.001230
1283.267578,-38.328976,3.917725,37.202202,170.000000,23.585970,-0.001281
1283.267578,-39.301609,0.000000,35.012146,180.000000,21.559002,-0.001345
1283.267578,-38.328934,-3.917712,37.202213,190.000000,23.585968,-0.001281
1283.267578,-37.111080,-7.761703,38.388588,200.000000,24.896286,-0.001230
1283.267578,-35.937538,-11.486068,38.406776,210.000000,25.450142,-0.001181
1283.267578,-33.274372,-15.699096,37.650120,220.000000,25.230711,-0.001155
1283.267578,-30.146822,-19.104956,36.076950,230.000000,24.244656,-0.001148
1283.267578,-25.431839,-21.819397,34.012192,240.000000,22.521940,-0.001182
1283.267578,-18.845404,-23.314978,31.527037,250.000000,20.114906,-0.001267
1283.267578,-8.798970,-25.239157,28.341343,260.000000,17.096691,-0.001389
1283.267578,-0.000010,-25.274561,24.885098,270.000000,13.559004,-0.001593
1283.267578,8.798987,-25.239174,28.341341,280.000000,17.096697,-0.001389
1283.267578,18.845430,-23.315020,31.527027,290.000000,20.114910,-0.001267
1283.267578,25.431826,-21.819382,34.012196,300.000000,22.521940,-0.001182
